;Years in industry
P1;20
P2;24
P3;13
P4;22
P5;22
P6;24
P7;5
P8;24
P9;22
P10;8
P11;19
P12;26
P13;5
P15;20
P16;26
P17;20
P18;13
P19;6
P20;15
P21;17
P22;8
P23;21
P24;17
P25;9
P26;22
P30;15
P31;2
P32;8
