;f_owner
P1;0
P2;1
P3;0
P4;0
P5;0
P6;1
P7;0
P8;1
P9;0
P10;0
P11;0
P12;0
P13;0
P15;0
P16;0
P17;0
P18;0
P19;1
P20;1
P21;0
P22;0
P23;0
P24;1
P25;0
P26;0
P30;0
P31;0
P32;0
