;export_vol
P1;15
P2;0
P3;0
P4;0
P5;0
P6;5
P7;0
P8;80
P9;0
P10;0
P11;0
P12;1
P13;0
P15;0
P16;2
P17;3
P18;0
P19;90
P20;50
P21;2
P22;0
P23;0
P24;25
P25;48
P26;0
P30;0
P31;0
P32;0
