;external links
P1;0
P2;4
P3;2
P4;4
P5;0
P6;5
P7;0
P8;8
P9;13
P10;0
P11;1
P12;0
P13;0
P15;8
P16;5
P17;2
P18;0
P19;19
P20;2
P21;3
P22;5
P23;2
P24;0
P25;3
P26;4
P30;1
P31;5
P32;20
